phase,n,total_s,mean_s,median_s,sd_s,pct_of_overall
overall,1,34.291481,34.291481,34.291481,0.000000,
inference,444,7.343810,0.016540,0.007220,0.054081,21.42
inference/emptyqueue,443,14.374190,0.032447,0.031170,0.032094,41.92
setup,1,3.021770,3.021770,3.021770,0.000000,8.81
file_checks,1,0.003397,0.003397,0.003397,0.000000,0.01
audio_io/reading,444,80.336085,0.180937,0.184545,0.061477,234.27
audio_io/resampling,444,51.999032,0.117115,0.127117,0.035862,151.64
audio_io/fullqueue,436,30.322578,0.069547,0.000027,0.497787,88.43
write_io/formatting,444,12.082350,0.027213,0.029631,0.025623,35.23
write_io/writing,444,2.500967,0.005633,0.001953,0.011866,7.29
